Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dragon,&&&&&&&&&&,monster,1,1,PRACTICE,???
2,+,infant,&&&&&&&&&&,baby,1,1,PRACTICE,???
3,+,storm,&&&&&&&&&&,cloud,1,1,PRACTICE,???
4,+,water,&&&&&&&&&&,sprinkler,1,1,PRACTICE,???
5,+,movie,&&&&&&&&&&,purpose,2,0,PRACTICE,ABSTRACT
6,+,tree,&&&&&&&&&&,sin,2,0,PRACTICE,ABSTRACT
7,+,brain,&&&&&&&&&&,idea,2,0,PRACTICE,ABSTRACT
8,+,rock,&&&&&&&&&&,envy,2,0,PRACTICE,ABSTRACT
9,+,truck,&&&&&&&&&&,car,1,1,TEST,VEHICLE
10,+,ambulance,&&&&&&&&&&,van,1,1,TEST,VEHICLE
11,+,airplane,&&&&&&&&&&,helicopter,1,1,TEST,VEHICLE
12,+,canoe,&&&&&&&&&&,sailboat,1,1,TEST,VEHICLE
13,+,scooter,&&&&&&&&&&,bike,1,1,TEST,VEHICLE
14,+,tractor,&&&&&&&&&&,motorcycle,1,1,TEST,VEHICLE
15,+,subway,&&&&&&&&&&,trolley,1,1,TEST,VEHICLE
16,+,bus,&&&&&&&&&&,taxi,1,1,TEST,VEHICLE
17,+,elephant,&&&&&&&&&&,giraffe,1,1,TEST,MAMMAL
18,+,cat,&&&&&&&&&&,dog,1,1,TEST,MAMMAL
19,+,zebra,&&&&&&&&&&,horse,1,1,TEST,MAMMAL
20,+,camel,&&&&&&&&&&,donkey,1,1,TEST,MAMMAL
21,+,cheetah,&&&&&&&&&&,lion,1,1,TEST,MAMMAL
22,+,buffalo,&&&&&&&&&&,cow,1,1,TEST,MAMMAL
23,+,lamb,&&&&&&&&&&,sheep,1,1,TEST,MAMMAL
24,+,skunk,&&&&&&&&&&,raccoon,1,1,TEST,MAMMAL
25,+,sword,&&&&&&&&&&,knife,1,1,TEST,WEAPON
26,+,spear,&&&&&&&&&&,slingshot,1,1,TEST,WEAPON
27,+,grenade,&&&&&&&&&&,cannon,1,1,TEST,WEAPON
28,+,bat,&&&&&&&&&&,club,1,1,TEST,WEAPON
29,+,shotgun,&&&&&&&&&&,rifle,1,1,TEST,WEAPON
30,+,arrow,&&&&&&&&&&,bow,1,1,TEST,WEAPON
31,+,missile,&&&&&&&&&&,bomb,1,1,TEST,WEAPON
32,+,hatchet,&&&&&&&&&&,whip,1,1,TEST,WEAPON
33,+,carrot,&&&&&&&&&&,celery,1,1,TEST,VEGETABLE
34,+,cauliflower,&&&&&&&&&&,broccoli,1,1,TEST,VEGETABLE
35,+,cucumber,&&&&&&&&&&,radish,1,1,TEST,VEGETABLE
36,+,turnip,&&&&&&&&&&,potato,1,1,TEST,VEGETABLE
37,+,asparagus,&&&&&&&&&&,peas,1,1,TEST,VEGETABLE
38,+,garlic,&&&&&&&&&&,onions,1,1,TEST,VEGETABLE
39,+,cabbage,&&&&&&&&&&,lettuce,1,1,TEST,VEGETABLE
40,+,spinach,&&&&&&&&&&,pepper,1,1,TEST,VEGETABLE
41,+,vest,&&&&&&&&&&,jacket,1,1,TEST,CLOTHING
42,+,sandals,&&&&&&&&&&,slippers,1,1,TEST,CLOTHING
43,+,mittens,&&&&&&&&&&,scarf,1,1,TEST,CLOTHING
44,+,boots,&&&&&&&&&&,shoes,1,1,TEST,CLOTHING
45,+,skirt,&&&&&&&&&&,sweater,1,1,TEST,CLOTHING
46,+,swimsuit,&&&&&&&&&&,coat,1,1,TEST,CLOTHING
47,+,jeans,&&&&&&&&&&,pants,1,1,TEST,CLOTHING
48,+,belt,&&&&&&&&&&,socks,1,1,TEST,CLOTHING
49,+,turkey,&&&&&&&&&&,chicken,1,1,TEST,BIRD
50,+,canary,&&&&&&&&&&,parakeet,1,1,TEST,BIRD
51,+,eagle,&&&&&&&&&&,hawk,1,1,TEST,BIRD
52,+,woodpecker,&&&&&&&&&&,peacock,1,1,TEST,BIRD
53,+,seagull,&&&&&&&&&&,duck,1,1,TEST,BIRD
54,+,penguin,&&&&&&&&&&,ostrich,1,1,TEST,BIRD
55,+,stork,&&&&&&&&&&,swan,1,1,TEST,BIRD
56,+,raven,&&&&&&&&&&,crow,1,1,TEST,BIRD
57,+,shovel,&&&&&&&&&&,spade,1,1,TEST,TOOL
58,+,pliers,&&&&&&&&&&,wrench,1,1,TEST,TOOL
59,+,screws,&&&&&&&&&&,drill,1,1,TEST,TOOL
60,+,pencil,&&&&&&&&&&,scissors,1,1,TEST,TOOL
61,+,screwdriver,&&&&&&&&&&,hammer,1,1,TEST,TOOL
62,+,rake,&&&&&&&&&&,hoe,1,1,TEST,TOOL
63,+,axe,&&&&&&&&&&,chisel,1,1,TEST,TOOL
64,+,sledgehammer,&&&&&&&&&&,crowbar,1,1,TEST,TOOL
65,+,banana,&&&&&&&&&&,strawberry,1,1,TEST,FRUIT
