Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dandelion,&&&&&&&&&&&&,tulip,1,1,PRACTICE,FLOWER
2,+,carnation,&&&&&&&&&&&&,rose,1,1,PRACTICE,FLOWER
3,+,microwave,&&&&&&&&&&&&,daisy,1,0,PRACTICE,FLOWER
4,+,backpack,&&&&&&&&&&&&,lily,1,0,PRACTICE,FLOWER
5,+,lizard,&&&&&&&&&&&&,snake,2,1,PRACTICE,REPTILE
6,+,worm,&&&&&&&&&&&&,caterpillar,2,1,PRACTICE,BUG
7,+,orchid,&&&&&&&&&&&&,toaster,2,0,PRACTICE,APPLIANCE
8,+,lilac,&&&&&&&&&&&&,suitcase,2,0,PRACTICE,BAG
9,+,truck,&&&&&&&&&&&&,car,1,1,TEST,VEHICLE
10,+,ambulance,&&&&&&&&&&&&,van,1,1,TEST,VEHICLE
11,+,airplane,&&&&&&&&&&&&,helicopter,1,1,TEST,VEHICLE
12,+,canoe,&&&&&&&&&&&&,sailboat,1,1,TEST,VEHICLE
13,+,plum,&&&&&&&&&&&&,bike,1,0,TEST,VEHICLE
14,+,rake,&&&&&&&&&&&&,motorcycle,1,0,TEST,VEHICLE
15,+,stork,&&&&&&&&&&&&,trolley,1,0,TEST,VEHICLE
16,+,belt,&&&&&&&&&&&&,taxi,1,0,TEST,VEHICLE
17,+,tangerine,&&&&&&&&&&&&,nectarine,2,1,TEST,FRUIT
18,+,jackhammer,&&&&&&&&&&&&,chainsaw,2,1,TEST,TOOL
19,+,cardinal,&&&&&&&&&&&&,bluejay,2,1,TEST,BIRD
20,+,nightgown,&&&&&&&&&&&&,pajamas,2,1,TEST,CLOTHING
21,+,submarine,&&&&&&&&&&&&,raisin,2,0,TEST,FRUIT
22,+,rollerblades,&&&&&&&&&&&&,saw,2,0,TEST,TOOL
23,+,segway,&&&&&&&&&&&&,pigeon,2,0,TEST,BIRD
24,+,jeep,&&&&&&&&&&&&,dress,2,0,TEST,CLOTHING
25,+,elephant,&&&&&&&&&&&&,giraffe,1,1,TEST,MAMMAL
26,+,cat,&&&&&&&&&&&&,dog,1,1,TEST,MAMMAL
27,+,zebra,&&&&&&&&&&&&,horse,1,1,TEST,MAMMAL
28,+,camel,&&&&&&&&&&&&,donkey,1,1,TEST,MAMMAL
29,+,scooter,&&&&&&&&&&&&,lion,1,0,TEST,MAMMAL
30,+,orange,&&&&&&&&&&&&,cow,1,0,TEST,MAMMAL
31,+,axe,&&&&&&&&&&&&,sheep,1,0,TEST,MAMMAL
32,+,raven,&&&&&&&&&&&&,raccoon,1,0,TEST,MAMMAL
33,+,snowmobile,&&&&&&&&&&&&,sleigh,2,1,TEST,VEHICLE
34,+,fig,&&&&&&&&&&&&,apricot,2,1,TEST,FRUIT
35,+,compass,&&&&&&&&&&&&,microscope,2,1,TEST,TOOL
36,+,goose,&&&&&&&&&&&&,pheasant,2,1,TEST,BIRD
37,+,panda,&&&&&&&&&&&&,kayak,2,0,TEST,VEHICLE
38,+,tiger,&&&&&&&&&&&&,pear,2,0,TEST,FRUIT
39,+,rabbit,&&&&&&&&&&&&,ladder,2,0,TEST,TOOL
40,+,whale,&&&&&&&&&&&&,flamingo,2,0,TEST,BIRD
41,+,sword,&&&&&&&&&&&&,knife,1,1,TEST,WEAPON
42,+,spear,&&&&&&&&&&&&,slingshot,1,1,TEST,WEAPON
43,+,grenade,&&&&&&&&&&&&,cannon,1,1,TEST,WEAPON
44,+,bat,&&&&&&&&&&&&,club,1,1,TEST,WEAPON
45,+,cheetah,&&&&&&&&&&&&,rifle,1,0,TEST,WEAPON
46,+,tractor,&&&&&&&&&&&&,bow,1,0,TEST,WEAPON
47,+,honeydew,&&&&&&&&&&&&,bomb,1,0,TEST,WEAPON
48,+,sledgehammer,&&&&&&&&&&&&,whip,1,0,TEST,WEAPON
49,+,monkey,&&&&&&&&&&&&,gorilla,2,1,TEST,MAMMAL
50,+,yacht,&&&&&&&&&&&&,limousine,2,1,TEST,VEHICLE
51,+,mango,&&&&&&&&&&&&,papaya,2,1,TEST,FRUIT
52,+,computer,&&&&&&&&&&&&,calculator,2,1,TEST,TOOL
53,+,taser,&&&&&&&&&&&&,koala,2,0,TEST,MAMMAL
54,+,artillery,&&&&&&&&&&&&,wheelchair,2,0,TEST,VEHICLE
55,+,catapult,&&&&&&&&&&&&,tomato,2,0,TEST,FRUIT
56,+,machete,&&&&&&&&&&&&,clamp,2,0,TEST,TOOL
57,+,carrot,&&&&&&&&&&&&,celery,1,1,TEST,VEGETABLE
58,+,cauliflower,&&&&&&&&&&&&,broccoli,1,1,TEST,VEGETABLE
59,+,cucumber,&&&&&&&&&&&&,radish,1,1,TEST,VEGETABLE
60,+,turnip,&&&&&&&&&&&&,potato,1,1,TEST,VEGETABLE
61,+,shotgun,&&&&&&&&&&&&,peas,1,0,TEST,VEGETABLE
62,+,buffalo,&&&&&&&&&&&&,onions,1,0,TEST,VEGETABLE
63,+,subway,&&&&&&&&&&&&,lettuce,1,0,TEST,VEGETABLE
64,+,cranberry,&&&&&&&&&&&&,pepper,1,0,TEST,VEGETABLE
65,+,shield,&&&&&&&&&&&&,armor,2,1,TEST,WEAPON
66,+,hamster,&&&&&&&&&&&&,rat,2,1,TEST,MAMMAL
67,+,hovercraft,&&&&&&&&&&&&,barge,2,1,TEST,VEHICLE
68,+,pomegranate,&&&&&&&&&&&&,blackberry,2,1,TEST,FRUIT
69,+,corn,&&&&&&&&&&&&,mace,2,0,TEST,WEAPON
70,+,ginger,&&&&&&&&&&&&,leopard,2,0,TEST,MAMMAL
71,+,rhubarb,&&&&&&&&&&&&,jetski,2,0,TEST,VEHICLE
72,+,pumpkin,&&&&&&&&&&&&,watermelon,2,0,TEST,FRUIT
73,+,vest,&&&&&&&&&&&&,jacket,1,1,TEST,CLOTHING
74,+,sandals,&&&&&&&&&&&&,slippers,1,1,TEST,CLOTHING
